ID	Titolo	Autore	Trama	Pagine	Categoria	Immagine
25	LA STORIA DI UN EROINOMANE E DEI SUOI AMICI	A. Gallo	Una via d'uscita dal tunnel della droga.	95	Adulti	https://l-angolo-biblico.vercel.app/copertine/la_storia_di_un_eroinomane.jpeg
26	LEGGIMI PERCHÉ DIO TI VUOLE PARLARE	G. Esposito	Introduzione alla lettura quotidiana della Bibbia.	22	Adulti	https://l-angolo-biblico.vercel.app/copertine/leggimi_perche_dio_ti_vuole_parlare.jpeg
27	MANUELA X	M. Grassi	Testimonianza potente di una vita trasformata.	106	Adulti	https://l-angolo-biblico.vercel.app/copertine/manuela_x.jpeg
28	REGINA DELLA CAMERA BUIA	C. Ten Boom	Biografia della celebre testimone cristiana.	79	Adulti	https://l-angolo-biblico.vercel.app/copertine/regina_della_camera_buia.jpeg
29	SE GLI ANIMALI POTESSERO PARLARE	W. Gitt	Argomentazioni scientifiche a favore del Creatore.	128	Adulti	https://l-angolo-biblico.vercel.app/copertine/se_gli_animali_potessero_parlare.jpeg
30	SEGNALI INDICATORI NELLA VITA	H.P. Royer	Come riconoscere la guida di Dio nella propria vita.	198	Adulti	https://l-angolo-biblico.vercel.app/copertine/segnali_indicatori.jpeg
31	SI VIVE UNA VOLTA SOLA	E. Bunzli	Riflessioni sull'eternità e sul valore del tempo.	71	Adulti	https://l-angolo-biblico.vercel.app/copertine/si_vive_una_volta_sola.jpeg
32	VANGELO DI LUCA	Luca	La vita di Gesù raccontata dal medico amato.	64	Adulti	https://l-angolo-biblico.vercel.app/copertine/vangelo_di_luca.jpeg
33	VANGELO DI GIOVANNI	Giovanni	Il vangelo spirituale che rivela la divinità di Cristo.	58	Adulti	https://l-angolo-biblico.vercel.app/copertine/vangelo_di_giovanni.jpeg
34	IL VUOTO DENTRO	M. Grassi	Come colmare il senso di vuoto che l'uomo sente.	46	Adulti	https://l-angolo-biblico.vercel.app/copertine/il_vuoto_dentro.jpeg
35	LA BELLEZZA CHE TOGLIE IL RESPIRO	J. Blanchard	La maestosità del creato e il suo Creatore.	89	Adulti	https://l-angolo-biblico.vercel.app/copertine/la_bellezza_che_toglie_il_respiro.jpeg
36	FAVOLE DELLA FORESTA	Autore Animato	Storie morali e bibliche per bambini.	30	Bambini	https://l-angolo-biblico.vercel.app/copertine/favole_della_foresta.jpeg
37	HAMID E KINZA	Patricia St. John	Una bellissima storia ambientata nel deserto del Marocco.	258	Bambini	https://l-angolo-biblico.vercel.app/copertine/hamid_e_kinza.jpeg
38	I FRATELLI CUORDILEPRE	A. Lindgren	Una storia di coraggio e amore fraterno.	23	Bambini	https://l-angolo-biblico.vercel.app/copertine/i_fratelli_cuordilepre.jpeg
39	IL MAESTRO E I SUOI DISCEPOLI	M. Grassi	Insegnamenti di Gesù spiegati ai più piccoli.	40	Bambini	https://l-angolo-biblico.vercel.app/copertine/il_maestro_e_i_suoi_discepoli.jpeg
40	LA VERA STORIA DELL'ARCOBALENO	G. Esposito	Il significato biblico del patto di Dio con l'uomo.	13	Bambini	https://l-angolo-biblico.vercel.app/copertine/la_vera_storia_dell_arcobaleno.jpeg
41	LA STORIA DEL PROFETA GIONA	Autori Vari	Le avventure di Giona e il grande pesce.	14	Bambini	https://l-angolo-biblico.vercel.app/copertine/la_storia_del_profeta_giona.jpeg
42	LA CASA SULLA ROCCIA	G. Rossi	La parabola di Gesù spiegata in modo semplice.	15	Bambini	https://l-angolo-biblico.vercel.app/copertine/la_casa_sulla_roccia.jpeg
43	LA SCRITTA PROIBITA	Patricia St. John	Mistero e fede in un racconto per ragazzi.	93	Bambini	https://l-angolo-biblico.vercel.app/copertine/la_scritta_proibita.png
44	PELLEGRINAGGIO PICCOLO CRISTIANO	J. Bunyan	Adattamento per bambini del famoso "Il pellegrinaggio".	25	Bambini	https://l-angolo-biblico.vercel.app/copertine/pellegrinaggio_piccolo_cristiano.jpeg
45	RICKY E IL PIROMANE	A. Gallo	Una storia avvincente sulla responsabilità e il perdono.	43	Bambini	https://l-angolo-biblico.vercel.app/copertine/ricky_e_il_piromane.jpeg
